# id|family|baglam|olasi_olay|olasi_sonuc|sorumlu|seviye1|onlem1|seviye2|onlem2
R-51-01|G51|Başlangıç yangınına güvenli müdahale için taşınabilir söndürücü düzeni|Uygun veya çalışır söndürücüye erişilememesi nedeniyle başlangıç yangınının büyümesi|Duman zehirlenmesi, yanık ve ölüm|Yangın güvenliği sorumlusu|engineering|Söndürücü türünü yangın tehlikesine uygun seçin; görünür ve önü açık erişim sağlayın.|administrative|Bakım, dolum ve kullanım durumunu izleyin; yalnız eğitimli kişinin güvenli kaçış korunurken başlangıç yangınına müdahalesini planlayın.
R-51-02|G51|Elektrik tesisatının kullanım koşulları ve periyodik kontrol bulguları|Tesisattaki tehlikeli kusurun giderilmeden kullanılmaya devam etmesi|Elektrik çarpması, yangın ve ölüm|Elektrik tesis sorumlusu|engineering|Tehlikeli bulunan devreyi kullanım dışı bırakın; rapor bulgusuna uygun teknik düzeltmeyi yetkin kişiye yaptırın.|administrative|Kontrol raporunu kapsadığı tesisat ve son kontrol tarihiyle ilişkilendirin; açık bulguların kapatılmasını yeni rapor varlığından ayrı takip edin.
R-51-03|G51|Elektrikli donanımda koruma iletkeni ve topraklama düzeni|Arıza halinde dokunulabilir gövdede tehlikeli gerilim oluşması|Elektrik çarpması, ağır yanık ve ölüm|Elektrik bakım sorumlusu|engineering|Koruma iletkeni sürekliliğini ve eşpotansiyel bağlantıları uygun teknik düzenle sağlayın.|administrative|Topraklama ve koruma düzeninin ölçüm sonuçlarını yetkin kişiye değerlendirin; yalnız bir direnç değeriyle bütün sistemin güvenli olduğu sonucuna varmayın.
R-51-04|G51|Uygun devrelerde kaçak akım koruması|Kaçak akımın gerektiği sürede kesilememesi|Elektrik çarpması ve ölüm|Elektrik bakım sorumlusu|engineering|Devre ve yük özelliğine uygun kaçak akım koruma cihazını yetkin kişiye seçtirin; korumayı devre dışı bırakmayın.|administrative|Üretici testleri ile teknik ölçüm ve açma testlerini ayrı kayıtlayın; test düğmesine basılması bütün tesisat kontrolünün yerine geçmez.
R-51-05|G51|İlkyardım malzemelerinin erişimi ve kullanılabilirliği|Gerekli temel malzemenin olay anında bulunamaması veya kullanılamaması|Müdahalenin gecikmesi ve yaralanmanın ağırlaşması|İlkyardım organizasyonu sorumlusu|engineering|İşyeri riskleriyle uyumlu ilkyardım malzemesini ulaşılabilir ve işaretli yerde bulundurun.|administrative|Malzemelerin bütünlüğünü, son kullanma durumunu ve tüketim sonrası tamamlanmasını izleyin; dolap bulunması eğitimli ilkyardımcının yerini tutmaz.
R-51-06|G51|El yıkama, tuvalet ve ortak hijyen alanları|Kirli yüzey veya el temasıyla bulaş ve çapraz kirlenme|Enfeksiyon, cilt hastalığı ve gastrointestinal hastalık|Tesis hijyen sorumlusu|engineering|Uygun el yıkama, temiz su ve hijyenik kurulama düzenini erişilebilir sağlayın.|administrative|Temizlik planını kullanım yoğunluğuna göre düzenleyin; ürünlerin güvenli kullanımını ve eksilen hijyen sarfını kontrol edin.
R-51-07|G51|Çalışanların içme suyuna ve temiz yemek alanına erişimi|Kirli su veya çalışma maddesinin yiyeceğe karışması|Zehirlenme, enfeksiyon ve sıvı kaybı|İdari işler sorumlusu|engineering|İçme suyu ve yemek alanını kimyasal, toz ve atık kaynaklarından ayırın.|administrative|Su temin ve temizlik kayıtlarını takip edin; iş kimyasalları için yiyecek-içecek kabı kullanılmasını önleyin.
R-51-08|G51|Dinlenme alanının göreve ve çalışan sayısına uygun düzenlenmesi|Dinlenme sırasında tehlikeli proses veya kirleticiye maruziyetin sürmesi|Yorgunluk, solunum yakınmaları ve ikincil kaza|İdari işler ve işveren|engineering|Dinlenme yerini hareketli ekipman ve kirletici kaynaklarından güvenli biçimde ayırın.|administrative|Dinlenmeye fiilen erişilebilen iş düzeni kurun; alanın kapasite ve temizlik koşullarını kullanım yoğunluğuyla birlikte gözden geçirin.
R-51-09|G51|Basınçlı kapların hizmete uygunluğu ve periyodik kontrol bulguları|İlerleyen hasar veya koruma kusuru bulunan basınçlı sistemin kullanılması|Patlama etkisi, yanık, ezilme ve ölüm|Basınçlı sistem bakım sorumlusu|engineering|Kritik kusurlu kabı emniyetli biçimde hizmetten çıkarın; emniyet donanımı ve kusurları uygun teknik yöntemle giderin.|administrative|Kontrol raporunu kap kimliği ve çalışma şartlarıyla eşleştirin; üretici, ilgili standart ve güncel mevzuata göre periyodu belirleyin, bütün kaplara körlemesine tek süre atamayın.
R-51-10|G51|Kaldırma ekipmanlarının hizmete uygunluğu ve periyodik kontrol bulguları|Kaldırma mekanizmasındaki kusurun yük taşıma sırasında arızaya dönüşmesi|Yük düşmesi, ezilme, uzuv kaybı ve ölüm|Kaldırma ekipmanı bakım sorumlusu|engineering|Kritik kusur bulunan ekipmanla kaldırmayı durdurun; yük tutma ve sınırlama donanımını uygun teknik yöntemle düzeltin.|administrative|Kontrol raporunu ekipman ve aksesuar kimliğiyle ilişkilendirin; rapor kapsamı dışında kalan aksesuarları ayrıca ele alın ve işe başlama kontrolünü sürdürün.
