# id|olasi_sonuc|ilk_onlem_seviyesi|ikinci_onlem_seviyesi|ikinci_onlem
R-01-01|Burkulma, kırık ve baş yaralanması|engineering|administrative|Temizlik sırasında geçişi ayırın; yeniden açmadan zeminin kuru ve güvenli olduğunu kontrol edin.
R-01-02|Ayak bileği yaralanması ve düşmeye bağlı kırık|engineering|administrative|Zemin bozukluklarını konumuyla bakım listesine alın; onarıma kadar güvenli alternatif yol belirleyin.
R-01-03|Merdivenden düşme, kırık ve baş travması|engineering|administrative|Basamak, tutamak ve aydınlatmayı birlikte kontrol edin; malzeme taşırken görüşü kapatmayın.
R-01-04|Baş yaralanması, ezilme ve ölüm|engineering|administrative|Fırtına sonrasında çatı bağlantılarını yetkin kişiye kontrol ettirin; güvenli bulunmadan alt alanı açmayın.
R-01-05|Baş ve göz yaralanması|engineering|administrative|Tavana yeni yük asmadan taşıma uygunluğunu inceletin; su almış panelleri kullanım alanından ayırın.
R-01-06|Çarpma, yüz yaralanması ve düşme|engineering|engineering|Kapı açılımını yoğun geçişten uzaklaştırın; uygun kontrollü kapatıcıyla ani kanat hareketini sınırlayın.
R-01-07|Sıkışma, ezilme ve ölüm|engineering|administrative|Emniyet kenarı ve fotosel işlevlerini üretici yöntemine göre test edin; arıza kaydını bakım tamamlanana kadar açık tutun.
R-01-08|Yüksekten düşme, çoklu kırık ve ölüm|engineering|administrative|Boşluk korumasının sökülmesini izinli işe bağlayın; söküm süresince alternatif korumayı yerinde tutun.
R-01-09|Takılma, düşme ve taşınan yükle ezilme|elimination|engineering|Geçici hatları üstten veya yaya yolu dışında geçirin; zorunlu kesişimde sabit yük dayanımlı geçiş koruması kullanın.
R-01-10|Baş kesisi ve boyun yaralanması|engineering|administrative|Baş mesafesi düşük güzergâhı ölçerek işaretleyin; malzemeyle geçiş için başka rota tanımlayın.
R-01-11|Çarpışma, düşme ve sıkışma|engineering|administrative|Vardiya değişiminde karşılıklı yoğun akışı gözlemleyin; yük taşımayı yoğun yaya saatlerinden ayırın.
R-01-12|Göçük altında kalma, ezilme ve ölüm|engineering|administrative|Çatlak ve hareket belirtilerinde yaklaşmayı durdurun; yapı uzmanının izin verdiği sınır dışında bekleyin.
R-02-01|Elektrik yanığı, ritim bozukluğu ve ölüm|engineering|administrative|Kabloları kullanımdan önce gözle kontrol edin; bantla geçici onarım yerine yetkili bakım değişimi uygulayın.
R-02-02|Elektrik çarpması ve ölüm|engineering|engineering|Kaçak akım koruması, topraklama ve besleme düzenini birlikte değerlendirin; yalnız koruma cihazına güvenmeyin.
R-02-03|Elektrik çarpması ve ark yanığı|engineering|administrative|Pano önü çalışma alanını boş tutun; erişimi yalnız yetkililere verin ve enerjisiz bakım prosedürü kullanın.
R-02-04|Ağır yanık, işitme hasarı ve ölüm|engineering|ppe|Ark değerlendirmesiyle belirlenen yüz, göz ve vücut korumasını kullanın; KKD'yi enerjisiz çalışmanın yerine koymayın.
R-02-05|Gövde temasıyla elektrik çarpması|engineering|administrative|Koruma iletkeni ölçüm sonuçlarını cihaz kimliğiyle kaydedin; onarım sonrası yeniden ölçmeden kullanıma vermeyin.
R-02-06|Yangın, yanık ve dumandan etkilenme|engineering|administrative|Yüksek güçlü cihazları uygun devrelere dağıtın; ısınan priz ve uzatma kablosunu derhal kullanımdan ayırın.
R-02-07|Elektrik çarpması, ark yanığı ve ölüm|administrative|engineering|Hat yerini sahada doğrulatın; işletmeciyle güvenli açığa çıkarma ve enerjisizleştirme düzenini kurun.
R-02-08|Havai hat arkı, yanık ve ölüm|administrative|engineering|Ekipman hareket zarfını fiziksel sınırlayıcılarla yönetin; güvenli yaklaşım mesafesini gerilim ve işletmeci şartlarına göre belirleyin.
R-02-09|Geri beslemeyle elektrik çarpması ve yangın|engineering|administrative|Şebeke, jeneratör, UPS ve PV ayırma noktalarını şemada gösterin; tek kesiciyi açmayı yeterli saymayın.
R-02-10|Depolanmış enerjiyle elektrik çarpması ve yanık|administrative|engineering|Üreticinin deşarj süresini ve ölçüm noktalarını kullanın; tekrar yüklenmeyi önleyen izolasyonu koruyun.
R-02-11|Aşırı akım kaynaklı yangın ve elektrik çarpması|engineering|administrative|Tesisat değişikliklerinde koruma koordinasyonunu yenileyin; daha büyük sigortayla arızayı maskelemeyin.
R-02-12|Elektrik çarpması ve koruma işlevi kaybı|engineering|administrative|Geçici dağıtımın test kaydını kurulumla eşleştirin; taşınma ve hasar sonrası yetkin kontrol yaptırın.
R-03-01|Dolanma, uzuv kaybı ve ölüm|engineering|administrative|Dönen mile yaklaşmadan durdurma ve izolasyon uygulayın; bol giysi, takı ve açık saçı tehlike alanından uzak tutun.
R-03-02|El ezilmesi ve parmak kaybı|engineering|engineering|Sıkışma giderme için elle erişim gerektirmeyen besleme ve temizleme araçları tasarlayın.
R-03-03|Ezilme, amputasyon ve ölüm|engineering|administrative|Kalıp değişimi ve ayarı ayrı güvenli moda bağlayın; emniyet işlevlerini her değişim sonrasında doğrulayın.
R-03-04|Robot çarpması, ezilme ve ölüm|engineering|administrative|Hücreye giren kişinin yeniden başlatmayı kontrol etmesini sağlayın; öğretme yetkisini eğitimli personele sınırlayın.
R-03-05|Sıkışma, uzuv yaralanması ve amputasyon|engineering|administrative|Tıkanmayı bant hareketliyken gidermeyin; erişim öncesinde tüm bağlı hatları izole edin.
R-03-06|Fırlayan parçayla baş ve gövde yaralanması|administrative|engineering|Parça fırlamasına dayanımlı muhafaza kullanın; anahtarı aynada bırakmayı önleyen düzen kurun.
R-03-07|Derin kesik, tendon yaralanması ve amputasyon|engineering|administrative|Bıçak değişimi için güvenli tutucu ve izolasyon yöntemi belirleyin; kesim alanına elle uzanmayı engelleyin.
R-03-08|Ters hareketle ezilme ve kırık|engineering|administrative|Arıza giderme talimatında otomatik geri dönüşü açıkça gösterin; yalnız dur düğmesine güvenmeyin.
R-03-09|Tehlikeli hareketle temas ve uzuv kaybı|engineering|administrative|Köprülenmiş kilitte üretimi durdurun; tekrar devreye almadan emniyet devresinin işlevini yetkin kişiye doğrulatın.
R-03-10|Beklenmedik çalışmayla ezilme ve ölüm|engineering|administrative|Uzaktan başlatma öncesi saha boşluğu kontrolünü tanımlayın; erişim noktasındaki kişisel kilidi kaldırmayın.
R-03-11|Derin kesilme, uzuv dolanması ve amputasyon|engineering|administrative|Gerçek durma süresini bakımda ölçün; aşınma nedeniyle süre uzadığında erişim kilidini yeniden ayarlayın.
R-03-12|Uç takımla delinme, kesilme ve sıkışma|administrative|engineering|Keskin uçları ve iş parçasını güvenli geometriyle tasarlayın; yalnız robotun kuvvet sınırlamasını yeterli saymayın.
R-04-01|Disk parçalarıyla göz ve yüz yaralanması|engineering|ppe|Darbe dayanımlı göz koruması ve uygun yüz siperi kullanın; disk düzleminde başka kişileri bulundurmayın.
R-04-02|El-bilek yaralanması ve parça çarpması|engineering|administrative|Sıkışan matkabı enerjisini keserek çıkarın; uca uygun devir ve baskı uygulayın.
R-04-03|Delici yaralanma ve göz kaybı|engineering|administrative|Aleti kişiye doğrultmayın; sıkışma giderme ve taşımada enerji kaynağını ayırın.
R-04-04|El kesisi ve tendon yaralanması|substitution|engineering|Kesme altlığı ve sabit parça desteği kullanın; boşta kalan eli kesim hattının dışında tutun.
R-04-05|Fırlayan başla göz ve baş yaralanması|engineering|administrative|Sap bağlantısını iş başlangıcında kontrol edin; mantarlaşmış darbe yüzeyini yetkili bakımla giderin.
R-04-06|El ezilmesi, sıyrık ve düşme|engineering|administrative|Anahtara boru ekleyerek moment artırmayın; sıkışmış bağlantı için işe uygun sökme yöntemi seçin.
R-04-07|Göz hasarı ve basınçlı hava enjeksiyonu|elimination|engineering|Parçayı kapalı temizleme kabininde temizleyin; talaşın çevre çalışanlara ulaşmasını engelleyin.
R-04-08|Yanık, yangın ve duman etkilenmesi|engineering|administrative|İş bitiminde sıcak uç soğuyana kadar kontrollü bekletin; kapalı boşluktaki yanıcı yüzeyleri değerlendirin.
R-04-09|Geri tepme sonucu ağır kesik|engineering|administrative|Kesim hattını destek noktalarına göre belirleyin; dönen bıçak durmadan aleti zemine koymayın.
R-04-10|Solunum yolu tahrişi ve mesleki astım|engineering|administrative|Emiş ağzını lehim noktasına yakın tutun; filtre ve hava akışı bakımını kayıtlı izleyin.
R-04-11|Damar-sinir hasarı ve el-kol titreşim hastalığı|substitution|administrative|Gerçek tetik süresini görevler üzerinden hesaplayın; alet bakımını ve semptom bildirimini izleyin.
R-04-12|Batarya yangını, yanık ve duman etkilenmesi|engineering|administrative|Şişmiş veya darbe almış bataryayı şarj etmeyin; üreticiye uygun karantina ve atık teslimi uygulayın.
R-05-01|Yüksekten düşme, omurga hasarı ve ölüm|engineering|administrative|Kenar korumasını günlük çalışma değişikliklerinde gözden geçirin; söküm gerekiyorsa alternatif güvenli yöntem kurun.
R-05-02|Çatıdan düşme, çoklu kırık ve ölüm|engineering|administrative|Kırılgan yüzeyleri işe başlamadan planda işaretleyin; çatı erişimini yetkisiz kullanıma kapatın.
R-05-03|Işıklıktan düşme ve ölüm|engineering|administrative|Işıklığı sağlam döşeme gibi kullanmayın; üzerinin boyanması veya kirlenmesiyle görünmezleşmesini önleyin.
R-05-04|Döşeme boşluğundan düşme ve ölüm|engineering|administrative|Kapak taşıma kapasitesini ve sabitlemesini belirleyin; açıklık oluşturan ekip ile kullanıcıları koordine edin.
R-05-05|Alt seviyeye çarpma, ağır yaralanma ve ölüm|administrative|engineering|Enerji emici açılması, bağlantı boyu ve kullanıcı ölçüsünü açıklık hesabına katın; alt engelleri kaldırın.
R-05-06|Ankraj kopmasıyla yüksekten düşme ve ölüm|engineering|administrative|Ankraj kimliği, kullanıcı sınırı ve kontrol kaydını eşleştirin; rastgele boru veya korkuluğa bağlanmayın.
R-05-07|Salınımla yapıya çarpma ve baş travması|engineering|administrative|Çalışma mesafesini ankrajın altıyla sınırlayın; keskin kenar ve yan engelleri iş planında belirtin.
R-05-08|Askıda kalmaya bağlı ciddi dolaşım sorunu ve ölüm|administrative|engineering|Kurtarma donanımını çalışma noktasından erişilebilir tutun; kurtarma yöntemini iş başlamadan uygulamalı deneyin.
R-05-09|Düşen aletle baş yaralanması ve ölüm|engineering|administrative|Alet bağlarını alet ağırlığıyla eşleştirin; alt katta eşzamanlı çalışanları kaldırma ve yüksekte iş planına dahil edin.
R-05-10|Düşme, düşen malzeme çarpması ve ölüm|administrative|administrative|Anlık hava koşullarını iş noktasında izleyin; durdurma kararını teslimat baskısından bağımsız yetkilendirin.
R-05-11|Isı hastalığı, bayılma ve ikincil düşme|engineering|administrative|Çatı üzerindeki sıcaklık ve iş yüküne göre mola düzenleyin; yalnız çalışan için yardım iletişimi sağlayın.
R-05-12|Halat sistemi arızasıyla düşme ve ölüm|engineering|administrative|Halat güzergâhını keskin kenardan koruyun; bağımsız sistemlerin aynı zayıf bağlantıya bağlanmasını önleyin.
R-06-01|İskele devrilmesi, ezilme ve ölüm|engineering|administrative|Yağış veya zemin kazısı sonrasında ayak oturmalarını kontrol edin; uygunsuzluğu gidermeden iskeleyi kullanmayın.
R-06-02|İskele göçmesi, yüksekten düşme ve ölüm|engineering|administrative|İskele bağlarını başka iş için sökmeyi izinli değişikliğe bağlayın; yetkin kişinin yeniden kabulünü kaydedin.
R-06-03|Platformdan düşme, kırık ve ölüm|engineering|administrative|Platform aralıklarını ve yerinden kalkmayı kontrol edin; eksik elemanlı kata erişimi kapatın.
R-06-04|Platform göçmesi ve altında ezilme|administrative|engineering|Yükleme noktalarını tasarımda belirleyin; ağır malzemeyi iskelenin rastgele bir bölmesine bırakmayın.
R-06-05|Hareketli iskeleden düşme ve devrilme|administrative|engineering|Taşıma güzergâhındaki çukur ve engelleri giderin; yükseltilmiş durumdaki hareket için üretici koşullarına uyun.
R-06-06|Merdivenden düşme ve kırık|substitution|administrative|Merdiven açısı, tabanı ve üst bağlantısını kontrol edin; kaygan zeminde doğaçlama takoz kullanmayın.
R-06-07|Yana uzanma nedeniyle düşme|substitution|administrative|Erişilemeyen noktaya uzanmak yerine merdivenden inerek konumu değiştirin; uzun işler için platform kullanın.
