# id|once|calisan_sirasinda|ekip_sirasinda|sonra|yapilmayacak|geri_giris|saha_alanlari
AD-001|Çıkışları, alarmı ve toplanma yerini vardiya başında tanıyın.~Söndürücü erişimi ve yangın kapılarının çalışmasını görevli kişi kontrol etsin.|Yangını en yakın güvenli noktadan alarm vererek bildirin; eşya toplamak için beklemeyin.~Dumansız güvenli çıkışa yönelin; normal asansörü kullanmayın, güvenliyse çıkarken kapıyı kapatın.~Toplanma yerine gidip sayım sorumlusuna bildirin; bir kişi güvenli yerden 112'ye adres ve olay bilgisini versin.|Söndürme ekibi yalnız başlangıç aşamasındaki yangına, eğitimine uygun söndürücü ve açık geri kaçış yolu varsa müdahale etsin; duman artarsa çekilsin.~Yetkili teknik görevli gaz ve elektriği ancak güvenli kesme noktasından, yangın pompası/alarm/yaşam desteğini tehlikeye atmayan tesis planına göre ayırsın.~Koruma ekibi sayımı toplasın; eksik kişinin son bilinen yerini itfaiyeye bildirsin, çalışanları arama için geri göndermesin.|Yangın bölgesini erişime kapalı tutun; müdahale ve hasar kaydını oluşturun.~Kullanılmış söndürücü ve devre dışı korumaları yeniden kullanılabilir hale getirin.|Dumana girerek veya kaçış arkada kapalıyken yangınla mücadele etmeyin.~Elektrik, yağ veya bilinmeyen madde yangınına rastgele su kullanmayın.|İtfaiye/olay yöneticisi kararı ve etkilenen elektrik, yapı ve koruma sistemlerinin teknik kontrolünden sonra.|alarm_noktasi~guvenli_cikis~toplanma_yeri~sondurucu_turu_yeri~guvenli_enerji_kesme_noktasi
AD-002|Pano önü erişimini açık ve yanıcı malzemeden uzak tutun.~Pano ve besleme ayırıcılarını teknik plana işleyin.|Ark veya duman görülen panodan uzaklaşın; kapağı açmayın.~Çevredekileri uyarıp bölgenin güvenli çıkışını kullanın.~Olayı pano konumuyla bildirin; güvenli yerden 112 çağrısını görevlendirin.|Elektrik yetkilisi upstream güvenli noktadan izolasyonu tesis planına göre değerlendirsin.~Eğitimli söndürme ekibi yalnız elektrik tehlikesi ve yangın sınırı uygunsa uygun ekipmanla müdahale etsin.~Koruma ekibi panel çevresini ve etkilenebilecek kaçış yolunu kapatsın.|Enerji kesilmesinin etkilediği güvenlik sistemlerini kontrol edin.~Arızayı teknik inceleme olmadan yeniden beslemeyin.|Panoya su tutmayın.~Ark bölgesine kesiciyi elle kapatmak için yaklaşmayın.|Yetkili elektrik incelemesi ve yangın/izolasyon sonrası güvenlik kontrolleri tamamlanınca.|pano_kodu~uzak_ayirma_noktasi~elektrik_yetkilisi~alternatif_cikis
AD-003|Yağlı davlumbaz ve kanal temizliğini takip edin.~Mutfak yangınına uygun söndürme donanımı ve enerji kesme noktalarını tanıyın.|Yağ yangınını yüksek sesle bildirip çevredekileri uzaklaştırın.~Yanan kabı taşımayın; güvenli çıkışı ve mutfak kapısını kullanın.~Güvenli yerden alarm ve 112 çağrısını sağlayın; mutfağa geri dönmeyin.|Eğitimli görevli yalnız güvenliyse ısı kaynağını dış noktadan kapatsın.~Söndürme ekibi uygun yağ yangını ekipmanını eğitimine göre kullansın; büyüyen yangında çekilsin.~Teknik görevli mutfak gazını güvenli planda ayırsın; davlumbaz kanalına yayılan yangını itfaiyeye bildirsin.|Yağın yeniden tutuşma tehlikesi için alanı kapalı tutun.~Davlumbaz, gaz ve elektrik sistemi kontrol edilmeden mutfağı açmayın.|Yağ yangınına su dökmeyin.~Yanan kabı lavaboya taşımayın.|Yangın tamamen kontrol altında ve pişirme/kanal/gaz tesisatı yetkili incelemeden geçmişse.|yag_yangini_ekipmani~gaz_vanasi~mutfak_cikisi~davlumbaz_sistemi
AD-004|Solvent envanteri ve GBF'yi erişilebilir tutun.~Yangına dayanımlı depolama, sızıntı tutma ve güvenli uzaklaşma yolunu tanıyın.|Depodaki alev veya dumanı bildirip yangın bölgesinden uzaklaşın.~Kapları kurtarmak için içeri girmeyin; döküntü ve buhar yolundan uzak güvenli çıkışı izleyin.~112'ye solvent türü ve yaklaşık miktarın kayıtlı bilgisini güvenli noktadan iletin.|Olay yöneticisi etki alanını ve komşu depoları ayırsın.~Teknik ekip beslemeyi yalnız uzaktan güvenli olanakla durdursun.~Söndürme ekibi GBF ve tesis planına uygun sınırda hareket etsin; yoğun buhar veya büyüyen yangında uzman müdahalesine çekilsin.|Kirli yangın suyunun drenaj etkisini çevre ekibiyle değerlendirin.~Hasarlı kapları uzman planı olmadan taşımayın.|Buharlı alanda elektrik anahtarı işletmeyin.~Kimyasal türü bilinmeden söndürücü veya emici seçmeyin.|İtfaiye kararı, ortam ve depolama bütünlüğü değerlendirmesinden sonra.|solvent_envanteri~GBF_erisim~depo_cikisi~uzak_transfer_durdurma~drenaj_plani
AD-005|Filtre malzemesi ve tozun yangın/patlama özelliklerini kaydedin.~Patlama tahliye etki alanını ve acil duruş yöntemini belirleyin.|Filtre dumanı veya sıcaklık alarmını bildirin.~Filtre kapağını açmadan tahliye etki alanından uzaklaşın.~Bağlı makine alanındaki kişileri uyarıp güvenli toplanmaya geçin.|Teknik görevli besleme ve emişi yalnız tesise özgü güvenli duruş sırasıyla yönetsin.~Olay yöneticisi kanalla bağlı diğer üniteleri risk kapsamına alsın.~Uzman müdahale ekibine toz türü, izolasyon ve koruma düzenini teslim edin.|Filtreyi açmadan sıcak nokta ve yeniden tutuşmayı uzman değerlendirsin.~Patlama izolasyon/tahliye elemanları kontrol edilmeden üretimi başlatmayın.|Tozu basınçlı havayla havalandırmayın.~Filtreyi kapağını açarak veya rastgele su vererek söndürmeye çalışmayın.|Proses ve yangın uzmanının birikim, sıcaklık ve koruma sistemlerini uygun bulmasıyla.|toz_turu~filtre_kodu~patlama_tahliye_alani~guvenli_durus_sirasi
AD-006|Batarya kimyası ve üretici acil bilgilerini kayıtlı tutun.~Hasarlı ürün için ayrılmış alan ve kaçış yönünü belirleyin.|Tıslama, şişme veya dumanı bildirip bataryadan uzaklaşın.~Bataryayı elinize almayın; dumanı solumadan alanı boşaltın.~112'ye batarya ve konum bilgisini verin; etrafı erişime kapalı tutun.|Teknik görevli şarjı yalnız güvenli uzaktan kesme imkânı varsa durdursun.~Olay yöneticisi komşu hücrelere ısı yayılımı ve patlama etkisine göre sınırı genişletsin.~Profesyonel ekibe batarya kimyası, kapasite ve sistem izolasyon bilgisini iletin.|Yeniden tutuşma için uzman gözetimli izleme düzeni kurun.~Hasarlı kalıntıları yetkin bertaraf planına göre yönetin.|Duman yok oldu diye bataryaya yaklaşmayın.~Hasarlı bataryayı taşımayın veya üretici ve uzman müdahale planı dışında suya batırmayın.|Profesyonel ekip termal yayılım, gaz ve yeniden tutuşmayı değerlendirdikten sonra.|batarya_kimyasi~sarj_kesme_noktasi~karantina_yeri~komsu_yangin_yuku
AD-007|Araç tipini ve yakıt/batarya bilgisini acil kayda ekleyin.~Yol üzerinde güvenli duruş ve yolcu uzaklaştırma yöntemini belirleyin.|Aracı yalnız mümkün ve güvenliyse durdurup motoru kapatın.~Yolcuları trafik ve dumandan uzağa çıkarın; eşyalar için geri dönmeyin.~112'ye konum, araç türü ve içeride kalan kişi bilgisini verin.|Görevli trafik etkisini ve çevre erişimini güvenli mesafeden yönetsin.~Eğitimli kişi yalnız küçük başlangıç yangını ve güvenli kaçış varsa uygun söndürücü kullansın.~Elektrikli/alternatif yakıtlı araç bilgisini müdahale ekibine iletin.|Araç çekme işlemini yangın ekibinin güvenli bulmasına bağlayın.~Hasarlı enerji sistemini teknik uzman incelemeden açmayın.|Yanan kaputu aniden açmayın.~Trafikte korunmasız beklemeyin veya yakıt sızıntısına yaklaşmayın.|İtfaiye ve araç teknik yetkilisinin izin verdiği sınırda.|arac_turu~yakit_batarya~konum_bildirimi~yolcu_sayimi
AD-008|Çatı katmanlarını ve sıcak iş alanlarını kaydedin.~Çatı altındaki kullanım ve alternatif çıkışları belirleyin.|Çatı dumanını bildirip alt bölgedeki kişileri uyarın.~Çatıya yangını görmek veya söndürmek için çıkmayın.~Güvenli çıkıştan ayrılarak çatı düşme hattının dışında toplanın.|Olay yöneticisi düşebilecek kaplama ve eriyen malzeme alanını kapatsın.~Teknik ekip yangının geçtiği tesisatları güvenli uzak noktadan değerlendirsin.~İtfaiyeye çatı yapısı, izolasyon ve olası PV sistemi bilgisini verin.|Gizli katman yangını ve yeniden tutuşmayı teknik ekibe kontrol ettirin.~Isı etkilenmiş taşıyıcı ve kaplamayı inceletin.|Alev görünmüyor diye çatıya çıkmayın.~PV veya elektrik sistemini enerjisiz varsaymayın.|Yangın ve yapı uzmanının katman, taşıyıcı ve elektrik incelemesi sonrası.|cati_yapisi~PV_varligi~dusme_etki_alani~alternatif_cikis
AD-009|Trafo kodu, yağ türü ve uzaktan ayırma yöntemini kaydedin.~Trafo çevresi erişim ve yağ tutma alanını belirleyin.|Patlama veya dumanı bildirip trafo çevresinden uzaklaşın.~Yaklaşma sınırını geçmeyin; zemindeki iletken/sıvı alana basmayın.~112'ye elektrik tesisi olduğunu ve konumunu güvenli yerden bildirin.|Elektrik yetkilisi beslemeyi işletme prosedürüne göre ayırsın.~Koruma ekibi komşu alan ve yaya geçişini kapatsın.~İtfaiyeye enerji izolasyon durumu ve yağ tutma/drenaj bilgisini teslim edin.|Topraklama ve adım/temas gerilimi tehlikesini teknik ekip değerlendirsin.~Yağ ve yangın suyu temizliğini uygun uzman planına bağlayın.|Trafoya yaklaşarak anahtarlama yapmayın.~Gerilim kesilmeden su veya iletken ekipmanla müdahale etmeyin.|Elektrik işletme yetkilisi ve itfaiye izin verdikten sonra.|trafo_kodu~isletme_yetkilisi~uzak_ayirici~yag_tutma_alani
AD-010|Resmî uyarı kanalı ve alternatif yol güzergâhlarını belirleyin.~Toplanma alanını orman yangını etkisinden ayrı değerlendirin.|Resmî uyarı veya saha alarmını izleyin; erken güvenli tahliyeye hazırlanın.~Duman/alev yönündeki yola çıkmayın; olay yöneticisinin açık güvenli güzergâhını kullanın.~Sayım noktasına varışınızı bildirin; mahsur kalma halinde konumunuzu 112'ye iletin.|Olay yöneticisi yetkili kurumla tahliye veya korunma kararını koordine etsin.~Görevliler ziyaretçi ve desteğe ihtiyacı olan kişilerin ulaşımını düzenlesin.~Teknik ekip yalnız güvenli zaman ve yoldan kritik yakıt/prosesleri tesis planına göre bıraksın.|Tesis çevresindeki sıcak noktaları profesyonel ekibe kontrol ettirin.~Hava kalitesi ve enerji/yapı etkilerini değerlendirmeden işe dönmeyin.|Yangına karşı kendi başınıza araçla karşı yönde ilerlemeyin.~Eşyaları kurtarmak için tahliyeyi geciktirmeyin.|Yetkili kurumun bölge erişim izni ve işyeri teknik incelemesi sonrası.|resmi_uyari_kanali~alternatif_yol~tahliye_araci~dis_toplanma
